combo,P3,P6,P7,P8,P9,P10,P13,P16
BCDEGIKL,B,D,C,E,I,K,G,L
BCDEGJKL,B,G,C,E,J,K,L,D
BCDEHIJK,B,D,C,H,I,J,K,E
BCDEHIJL,B,D,C,E,H,I,J,L
BCDEHIKL,B,D,C,E,H,K,L,I
BCDEHJKL,B,H,C,E,K,J,L,D
BCDEIJKL,B,D,C,E,J,K,L,I
BCDFGHIJ,C,F,I,J,H,B,G,D
BCDFGHIK,C,F,I,K,H,B,G,D
BCDFGHIL,C,F,L,H,I,B,G,D
BCDFGHJK,C,F,K,J,H,B,G,D
BCDFGHJL,C,F,L,H,J,B,G,D
BCDFGHKL,C,F,K,H,L,B,G,D
BCDFGIJK,C,F,K,J,I,B,G,D
BCDFGIJL,C,F,L,I,J,B,G,D
BCDFGIKL,C,F,K,I,L,B,G,D
BCDFGJKL,C,F,K,J,L,B,G,D
BCDFHIJK,C,F,H,I,J,B,K,D
BCDFHIJL,C,F,I,H,J,B,L,D
BCDFHIKL,C,F,I,H,K,B,L,D
BCDFHJKL,C,F,K,H,J,B,L,D
BCDFIJKL,C,F,K,I,J,B,L,D
BCDGHIJK,B,D,C,J,H,K,G,I
BCDGHIJL,B,D,C,H,I,J,G,L
BCDGHIKL,B,D,C,H,I,K,G,L
BCDGHJKL,C,G,K,H,J,B,L,D
BCDGIJKL,B,D,C,I,J,K,G,L
BCDHIJKL,B,D,C,H,K,L,I,J
BCEFGHIJ,B,F,C,H,E,I,G,J
BCEFGHIK,B,F,C,H,E,K,G,I
BCEFGHIL,B,F,C,E,H,I,G,L
BCEFGHJK,B,F,C,H,E,K,G,J
BCEFGHJL,B,F,C,E,H,J,G,L
BCEFGHKL,B,F,C,E,H,K,G,L
BCEFGIJK,B,F,C,J,E,K,G,I
BCEFGIJL,B,F,C,E,I,J,G,L
BCEFGIKL,B,F,C,E,I,K,G,L
BCEFGJKL,B,F,C,E,J,K,G,L
BCEFHIJK,B,F,C,H,I,J,K,E
BCEFHIJL,B,F,C,E,H,I,J,L
BCEFHIKL,B,F,C,E,H,K,L,I
BCEFHJKL,B,F,C,E,H,K,L,J
BCEFIJKL,B,F,C,E,J,K,L,I
BCEGHIJK,B,G,C,H,I,J,K,E
BCEGHIJL,B,G,C,E,H,I,J,L
BCEGHIKL,B,G,C,E,H,K,L,I
BCEGHJKL,B,G,C,E,H,K,L,J
BCEGIJKL,B,G,C,E,J,K,L,I
BCEHIJKL,B,H,C,E,J,K,L,I
BCFGHIJK,B,F,C,J,H,K,G,I
BCFGHIJL,B,F,C,H,I,J,G,L
BCFGHIKL,B,F,C,H,I,K,G,L
BCFGHJKL,B,G,C,H,J,K,F,L
BCFGIJKL,B,F,C,I,J,K,G,L
BCFHIJKL,B,F,C,H,K,L,I,J
BCGHIJKL,B,G,C,H,K,L,I,J
BDEFGHIJ,B,F,H,J,E,I,G,D
BDEFGHIK,B,F,H,K,E,I,G,D
BDEFGHIL,B,F,L,E,H,I,G,D
BDEFGHJK,B,G,H,J,E,F,K,D
BDEFGHJL,B,D,L,E,H,F,G,J
BDEFGHKL,B,G,K,E,H,F,L,D
BDEFGIJK,B,F,K,J,E,I,G,D
BDEFGIJL,B,F,L,E,I,J,G,D
BDEFGIKL,B,F,K,E,I,L,G,D
BDEFGJKL,B,G,K,E,J,F,L,D
BDEFHIJK,B,F,H,I,J,E,K,D
BDEFHIJL,B,F,H,E,J,I,L,D
BDEFHIKL,B,F,H,E,K,I,L,D
BDEFHJKL,B,H,K,E,J,F,L,D
BDEFIJKL,B,F,K,E,J,I,L,D
BDEGHIJK,B,D,H,J,E,K,G,I
BDEGHIJL,B,D,I,E,H,J,G,L
BDEGHIKL,B,D,K,E,H,L,G,I
BDEGHJKL,B,G,K,E,H,J,L,D
BDEGIJKL,B,D,K,E,I,L,G,J
BDEHIJKL,B,D,H,E,J,K,L,I
BDFGHIJK,K,F,I,J,H,B,G,D
BDFGHIJL,D,F,L,H,I,B,G,J
BDFGHIKL,K,F,L,H,I,B,G,D
BDFGHJKL,F,G,K,H,J,B,L,D
BDFGIJKL,K,F,L,I,J,B,G,D
BDFHIJKL,K,F,I,H,J,B,L,D
BDGHIJKL,B,D,K,H,I,L,G,J
BEFGHIJK,B,F,H,J,E,K,G,I
BEFGHIJL,B,F,I,E,H,J,G,L
BEFGHIKL,B,F,K,E,H,L,G,I
BEFGHJKL,B,F,K,E,H,L,G,J
BEFGIJKL,B,F,K,E,I,L,G,J
BEFHIJKL,B,F,H,E,J,K,L,I
BEGHIJKL,B,G,H,E,J,K,L,I
BFGHIJKL,B,F,K,H,I,L,G,J
CDEFGHIJ,C,F,H,J,E,I,G,D
CDEFGHIK,C,F,H,K,E,I,G,D
CDEFGHIL,C,F,L,E,H,I,G,D
CDEFGHJK,C,G,H,J,E,F,K,D
CDEFGHJL,C,D,L,E,H,F,G,J
CDEFGHKL,C,G,K,E,H,F,L,D
CDEFGIJK,C,F,K,J,E,I,G,D
CDEFGIJL,C,F,L,E,I,J,G,D
CDEFGIKL,C,F,K,E,I,L,G,D
CDEFGJKL,C,G,K,E,J,F,L,D
CDEFHIJK,C,F,H,I,J,E,K,D
CDEFHIJL,C,F,H,E,J,I,L,D
CDEFHIKL,C,F,H,E,K,I,L,D
CDEFHJKL,C,H,K,E,J,F,L,D
CDEFIJKL,C,F,K,E,J,I,L,D
CDEGHIJK,C,D,H,J,E,K,G,I
CDEGHIJL,C,D,I,E,H,J,G,L
CDEGHIKL,C,D,K,E,H,L,G,I
CDEGHJKL,C,G,K,E,H,J,L,D
CDEGIJKL,C,D,K,E,I,L,G,J
CDEHIJKL,C,D,H,E,J,K,L,I
CDFGHIJK,C,F,K,J,H,I,G,D
CDFGHIJL,C,F,L,H,I,J,G,D
CDFGHIKL,C,F,K,H,I,L,G,D
CDFGHJKL,C,G,K,H,J,F,L,D
CDFGIJKL,C,F,K,I,J,L,G,D
CDFHIJKL,C,F,K,H,J,I,L,D
